Datetime,total_feed(TPH),reject(TPH),sep_drive_speed(RPM),bucket_elevator(AMP),mill_sound(%),cement_category
03-04-2023 16:00,122.1101398,9.965812683,475.1374817,58.90110016,74.26129913,0
03-04-2023 17:00,119.9621525,8.024419785,475.1374817,57.43590164,83.49206543,0
03-04-2023 18:00,0.035653237,8.995116234,517.0718384,54.99389648,61.66056442,0
03-04-2023 19:00,118.7247953,4.982906342,508.187439,51.72161484,66.59340668,0
03-04-2023 20:00,108.0483557,2.976801157,508.187439,53.47985458,68.69352722,1
03-04-2023 21:00,115.4485966,20.90232086,508.187439,61.53846359,61.05006409,1
03-04-2023 22:00,118.183149,24.9145298,508.187439,63.540905,62.14896393,1
03-04-2023 23:00,117.6840054,25.62637329,508.187439,63.83394623,66.22711182,1
04-04-2023 00:00,118.7145344,37.8571434,508.187439,65.44567108,60.36630249,1
04-04-2023 01:00,113.6678873,24.97924423,540.881958,62.27106476,64.85958862,1
04-04-2023 02:00,100.0483519,27.43833923,656.7344971,61.83150482,78.53479767,1
04-04-2023 03:00,88.6275965,68.78999329,700.090332,61.63614273,80,1
04-04-2023 04:00,91.64982379,33.84493637,753.3967896,62.22222519,83.90720367,1
04-04-2023 05:00,89.33089793,32.87423706,753.3967896,61.24542236,79.19413757,1
04-04-2023 06:00,98.15408975,45.75213623,756.9505615,63.83394623,84.22466278,1
04-04-2023 07:00,109.3462839,53.84127045,780.7607422,65.54335022,79.3162384,0
04-04-2023 08:00,110.3663015,28.86202621,780.7607422,66.56898499,83.34554291,0
04-04-2023 09:00,0.035653237,0.064713068,411.5252075,48.05860901,43.540905,0
04-04-2023 10:00,0.035653237,2.006104946,0,0,94.70085144,0
04-04-2023 11:00,0.032234433,0.194139197,0,0,98.77899933,0
04-04-2023 12:00,0.02881563,0.129426137,0,0,98.73015594,0
04-04-2023 13:00,0.035653237,0.194139197,0,0,98.68132019,0
04-04-2023 14:00,0.021245422,0.129426137,0,0,98.75457764,0
04-04-2023 15:00,0.035653237,0.129426137,0,0,96.9719162,0
04-04-2023 16:00,0.02881563,0.129426137,0,0,98.68132019,0
04-04-2023 17:00,78.4415201,0,0,0,98.55921936,1
04-04-2023 18:00,0.035653237,0.129426137,0,0,98.63247681,0
04-04-2023 19:00,0.017826619,0.129426137,0,0,98.6568985,0
04-04-2023 20:00,0.042490844,0.129426137,0,0,98.58364105,0
04-04-2023 21:00,0.032234433,0.129426137,0,0,98.55921936,0
04-04-2023 22:00,0.02881563,0.194139197,10.66127491,0.390720427,95.36019897,0
04-04-2023 23:00,0.035653237,0.129426137,10.66127491,0.341880351,98.55921936,0
05-04-2023 00:00,0.035653237,0.129426137,9.950523376,0.341880351,98.60805511,0
05-04-2023 01:00,0.032234433,0.129426137,9.950523376,0.341880351,98.63247681,0
05-04-2023 02:00,0.035653237,0.064713068,10.66127491,0.390720427,98.63247681,0
05-04-2023 03:00,0.035653237,0.129426137,9.950523376,0.341880351,98.48596191,0
05-04-2023 04:00,0.017826619,0.129426137,996.4738159,43.51648331,98.48596191,0
05-04-2023 05:00,99.72405553,21.93772888,785.7359619,57.92430115,69.49938965,1
05-04-2023 06:00,95.70158732,66.71917725,754.4628906,66.32479095,80.17094421,1
05-04-2023 07:00,103.8061081,18.96092796,680.9000854,65.15262604,77.82662201,1
05-04-2023 08:00,109.2459093,38.8278389,644.6517334,63.1990242,75.9462738,1
05-04-2023 09:00,114.1758295,35.98046494,604.4942627,60.80586243,74.04151917,1
05-04-2023 10:00,115.704517,116.6776581,654.2468872,65.7387085,76.41025543,1
05-04-2023 11:00,109.2546994,65.74847412,654.2468872,67.78999329,78.55921936,1
05-04-2023 12:00,107.1172223,76.10256958,725.3220825,70.23199463,83.24786377,1
05-04-2023 13:00,100.1538464,48.79365158,705.7764282,70.28083038,81.3431015,1
05-04-2023 14:00,99.94676459,48.79365158,779.6945801,64.0293045,80.36630249,1
05-04-2023 15:00,100.1804638,69.76068878,759.4381714,71.01343536,78.58364105,0
05-04-2023 16:00,119.2109938,129.6849823,803.5047607,64.95726776,76.36141968,0
05-04-2023 17:00,122.7707043,100.6288147,843.3068848,63.83394623,75.09157562,0
05-04-2023 18:00,120.5753403,77.6556778,843.3068848,70.86691284,79.68254089,0
05-04-2023 19:00,124.3186846,118.6190491,804.9262695,77.21611786,77.24053955,0
05-04-2023 20:00,125.3538532,111.6300354,804.9262695,77.85103607,81.05006409,0
05-04-2023 21:00,118.144083,58.69475174,804.9262695,73.06471252,81.0012207,0
05-04-2023 22:00,118.79146,41.80464172,784.6698608,64.90842438,80.56166077,0
05-04-2023 23:00,119.9367552,34.81563187,763.7026367,61.09890366,72.08791351,0
06-04-2023 00:00,125.5255251,19.93162537,708.9747925,58.70574188,78.58364105,0
06-04-2023 01:00,125.4964657,26.01465225,683.3876953,56.60561752,78.24176025,0
06-04-2023 02:00,118.044939,12.9426136,683.3876953,56.16605759,74.84737396,0
06-04-2023 03:00,124.0522604,15.98412704,626.5275879,60.26862335,80.95238495,0
06-04-2023 04:00,126.3790035,15.91941357,586.3700562,58.80342102,75.23809814,0
06-04-2023 05:00,128.0952377,10.87179565,558.2954712,60.65934372,78.26618195,0
06-04-2023 06:00,125.7074537,7.959706783,558.2954712,55.23809814,66.78877258,0
06-04-2023 07:00,127.5448103,8.995116234,508.8982239,57.33821869,78.36386108,0
06-04-2023 08:00,128.6429853,7.053724289,508.8982239,55.57997894,79.85347748,0
06-04-2023 09:00,126.7863274,14.88400459,508.8982239,54.79853821,79.07203674,0
06-04-2023 10:00,125.2471361,0.129426137,488.9971313,54.06593704,50.40293503,0
06-04-2023 11:00,130.8376083,7.894993782,488.9971313,57.48474121,75.6288147,0
06-04-2023 12:00,134.6564159,4.91819334,448.4842834,59.58486176,64.90842438,0
06-04-2023 13:00,132.3260117,0.064713068,427.8725281,54.94505692,72.1367569,0
06-04-2023 14:00,132.4307737,6.989011288,427.8725281,56.99633789,75.45787811,0
06-04-2023 15:00,127.9748478,1.035409093,427.8725281,56.55677795,76.84981537,0
06-04-2023 16:00,109.6791203,10.80708218,656.7344971,54.01709747,68.66911316,1
06-04-2023 17:00,0.102564108,0.064713068,996.4738159,42.14896393,98.6568985,0
06-04-2023 18:00,0.024664226,0.064713068,992.5646973,41.5140419,96.6300354,0
06-04-2023 19:00,104.7526289,20.90232086,701.5118408,59.68254089,60.78144455,1
06-04-2023 20:00,109.7050082,52.80586243,701.5118408,65.25030518,67.15506744,1
06-04-2023 21:00,108.9252794,67.68987274,701.5118408,68.37606812,72.57631683,1
06-04-2023 22:00,105.0945078,82.57387543,701.5118408,69.30403137,80.07325745,1
06-04-2023 23:00,94.78926146,56.81807327,746.6445923,66.12942505,76.84981537,1
07-04-2023 00:00,95.33431494,59.85958481,746.6445923,67.7411499,81.41635895,1
07-04-2023 01:00,94.34090483,52.87057495,746.6445923,67.88767242,75.33577728,1
07-04-2023 02:00,98.00098002,51.77045441,746.6445923,66.91086578,79.90232086,1
07-04-2023 03:00,98.27937126,59.85958481,746.6445923,66.86203003,76.89865875,1
07-04-2023 04:00,97.11453664,80.76190948,782.182251,66.47130585,82.05128479,1
07-04-2023 05:00,93.05690372,57.78876877,782.182251,63.58974457,74.26129913,1
07-04-2023 06:00,96.29157698,89.69230652,782.182251,67.44811249,81.12332153,1
07-04-2023 07:00,91.75433696,55.78266144,782.182251,68.71794891,81.19657898,1
07-04-2023 08:00,93.30940497,71.7667923,782.182251,69.40171051,78.3150177,1
07-04-2023 09:00,113.4635,65.81318665,736.6941528,72.42979431,75.60440063,0
07-04-2023 10:00,121.7746048,53.90598297,736.6941528,69.30403137,75.67765808,0
07-04-2023 11:00,122.8156319,45.75213623,809.9015503,63.73626709,76.41025543,0
07-04-2023 12:00,124.7150202,68.72528076,801.7279053,67.7411499,79.92674255,0
07-04-2023 13:00,120.4840069,82.57387543,801.7279053,66.52014923,79.63369751,0
